heading[deg],image_fname,frame,latitude[deg],longitude[deg],cam,neighborhood,subfolder
106.269395616179,944573454284037_right,944573454284037_right,-7.30232868997527,112.752631902695,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
201.640996685334,1325269571829306_right,1325269571829306_right,-7.3020679653718,112.748957276344,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
280.205690378824,8592938097477943_right,8592938097477943_right,-7.30063663779981,112.751698493958,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
98.8165570266495,1528625524499462_right,1528625524499462_right,-7.30212117448689,112.75182723999,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
101.041451223968,975049387829247_right,975049387829247_right,-7.30270647433503,112.754112482071,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
107.955218021244,1976636156136633_right,1976636156136633_right,-7.30080158656396,112.750282287598,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
289.238172114868,3984007238585425_right,3984007238585425_right,-7.30191897981585,112.752792835236,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
291.529341658544,1123647019771848_right,1123647019771848_right,-7.30018435861825,112.748694419861,1,,data/mapillary_images_new/2WwrcMRsN6phxTSEt0yeKb/right
206.378991972013,939811724778904_right,939811724778904_right,-7.29985446057381,112.749853134155,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
279.944847802962,1143926230634114_right,1143926230634114_right,-7.30104634913414,112.75362432003,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
6.06631741816386,1350085156430857_right,1350085156430857_right,-7.2990776029274,112.751478552818,1,,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
111.962764716875,1102804054708692_right,1102804054708692_right,-7.30192430072941,112.751097679138,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
8.46255984086508,983870817109012_right,983870817109012_right,-7.30346204209688,112.749477624893,1,,data/mapillary_images_new/KEYQ7cuxoq089kXALyJD6R/right
101.041462690735,944481940566794_right,944481940566794_right,-7.30318003456048,112.752647995949,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
103.601964643528,490653654045962_right,490653654045962_right,-7.30096653526728,112.75106549263,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
